English,Tamil
The train was held up for two hours on account of the snowstorm,பனிப்புயல் காரணமாக ரயில் இரண்டு மணி நேரம் நிறுத்தப்பட்டது
Compare your sentence with the one on the blackboard,உங்கள் வாக்கியத்தை கரும்பலகையில் உள்ள வாக்கியத்துடன் ஒப்பிடுங்கள்
We weighed one opinion against the other,நாங்கள் ஒரு கருத்தை மற்றொன்றுக்கு எதிராக எடைபோடினோம்
The students are busy preparing for the examination,மாணவர்கள் தேர்வுக்கு தயாராகி வருகின்றனர்
You and I are the same age,உனக்கும் எனக்கும் ஒரே வயது
Your friendship is most precious to me,உங்கள் நட்பு எனக்கு மிகவும் மதிப்புமிக்கது
The sweat was dripping off my brow,என் புருவத்திலிருந்து வியர்வை வழிந்து கொண்டிருந்தது
This song is so moving that it brings tears to my eyes,இந்த பாடல் என் கண்களில் கண்ணீரை வரவழைக்கும் அளவுக்கு நெகிழ்கிறது
Youre not old enough to get a drivers license,ஓட்டுநர் உரிமம் பெற உங்களுக்கு வயது வரவில்லை
They dont even know why,ஏன் என்று அவர்களுக்கும் தெரியாது
English is spoken in America,அமெரிக்காவில் ஆங்கிலம் பேசப்படுகிறது
Just a minute,ஒரு நிமிடம்
Try to have a positive attitude about everything,எல்லாவற்றிலும் நேர்மறையான அணுகுமுறையைக் கொண்டிருக்க முயற்சி செய்யுங்கள்
Curious to say I didnt find it anywhere,அதை எங்கும் காணவில்லை என்று சொல்ல ஆவல்
We thought we would write out the directions in case you got lost,நீங்கள் தொலைந்து போனால் திசைகளை எழுதுவோம் என்று நினைத்தோம்
What was the cause of your quarrel,உங்கள் சண்டைக்கு என்ன காரணம்
Strange to say the door opened of itself,வினோதமாக கதவு தானே திறந்து கொண்டது
The flower will come out soon,விரைவில் பூ வெளிவரும்
Id like to call my family,நான் எனது குடும்பத்தினரை அழைக்க விரும்புகிறேன்
Enjoy your meal,உங்கள் உணவை அனுபவிக்கவும்
Compare your translation with the one on the blackboard,உங்கள் மொழிபெயர்ப்பை கரும்பலகையில் உள்ளவற்றுடன் ஒப்பிடுங்கள்
Surprisingly he did his last job in onethird the time it would take me,ஆச்சரியம் என்னவென்றால் அவர் தனது கடைசி வேலையை நான் எடுக்கும் மூன்றில் ஒரு பங்கு நேரத்தில் செய்தார்
How much was the additional charge,கூடுதல் கட்டணம் எவ்வளவு
Boy did she have egg on her face when she showed up at the formal party wearing blue jeans,பாய் அவள் நீல ஜீன்ஸ் அணிந்து பார்ட்டியில் வந்தபோது அவள் முகத்தில் முட்டை இருந்ததா
There are fashions for socks as well,காலுறைகளுக்கும் ஃபேஷன்கள் உள்ளன
Your room is twice the size of mine,உங்கள் அறை என்னுடையதை விட இரண்டு மடங்கு பெரியது
You need not take off your shoes,நீங்கள் உங்கள் காலணிகளை கழற்ற தேவையில்லை
I smell something burning,ஏதோ எரியும் வாசனை
I had to do all the housework but I wish I had gone to the movies or shopping,நான் எல்லா வீட்டு வேலைகளையும் செய்ய வேண்டியிருந்தது ஆனால் நான் திரைப்படம் அல்லது ஷாப்பிங் சென்றிருக்க விரும்புகிறேன்
The speaker banged the table with his fist,சபாநாயகர் மேசையை முஷ்டியால் தட்டினார்
How about playing catch in the vacant lot near by,அருகிலுள்ள காலி இடத்தில் கேட்ச் விளையாடுவது எப்படி
Improving corporate performances are behind the stock market recovery,கார்ப்பரேட் செயல்திறனை மேம்படுத்துவது பங்குச் சந்தை மீட்சிக்குப் பின்னால் உள்ளது
The murderer was convicted and sentenced to life in prison,கொலையாளி குற்றவாளி என நிரூபிக்கப்பட்டு ஆயுள் தண்டனை விதிக்கப்பட்டது
Be my righthand man,என் வலது கை மனிதனாக இரு
You must stick to your promise,உங்கள் வாக்குறுதியை நீங்கள் கடைப்பிடிக்க வேண்டும்
We got her to attend to the patient,நோயாளிக்கு சிகிச்சை அளிக்க நாங்கள் அவளை அழைத்துச் சென்றோம்
Can you tell me the way to the bank,வங்கிக்கு செல்லும் வழியை சொல்ல முடியுமா
I felt something touch my feet,ஏதோ என் கால்களைத் தொடுவதை உணர்ந்தேன்
Chemical companies are waiting until everything dies down before reinvesting,இரசாயன நிறுவனங்கள் மறுமுதலீடு செய்வதற்கு முன் அனைத்தும் இறக்கும் வரை காத்திருக்கின்றன
You are in need of a holiday,உங்களுக்கு விடுமுறை தேவை
We were forced to work hard,கடுமையாக உழைக்க வேண்டிய கட்டாயம் ஏற்பட்டது
You are working too hard Take it easy for a while,நீங்கள் மிகவும் கடினமாக உழைக்கிறீர்கள் சிறிது நேரம் நிதானமாக எடுத்துக் கொள்ளுங்கள்
I want you,எனக்கு நீ வேண்டும்
The reporter criticized the politician,செய்தியாளர் அரசியல்வாதியை விமர்சித்தார்
The school stands about one mile off,பள்ளி ஒரு மைல் தொலைவில் உள்ளது
He told me he would go to Venice,அவர் வெனிஸ் செல்வதாகச் சொன்னார்
Its his greatest fault to be too generous,மிகவும் தாராளமாக இருப்பது அவரது மிகப்பெரிய தவறு
You must not read such a magazine as it will do you harm,அத்தகைய பத்திரிகையை நீங்கள் படிக்கக்கூடாது அது உங்களுக்கு தீங்கு விளைவிக்கும்
Dont forget about us,எங்களைப் பற்றி மறந்துவிடாதே
The professors boring lecture put me to sleep,பேராசிரியரின் சலிப்பான விரிவுரை என்னை தூங்க வைத்தது
You had better study English thoroughly,நீங்கள் ஆங்கிலத்தை முழுமையாகப் படிப்பது நல்லது
He was scared when the monkey jumped at him,குரங்கு தன் மீது பாய்ந்ததும் அவன் பயந்தான்
The burglar shut the child in the closet,திருடன் குழந்தையை அலமாரியில் அடைத்து வைத்தான்
It seems warm outside,வெளியே சூடாகத் தெரிகிறது
The sky has gradually clouded over,வானம் படிப்படியாக மேக மூட்டத்துடன் காணப்பட்டது
We communicate by means of language,மொழி மூலம் தொடர்பு கொள்கிறோம்
Come off it,அதிலிருந்து வா
The fire was burning brightly,தீ பிரகாசமாக எரிந்து கொண்டிருந்தது
The number of students who were late for school was much smaller than I had expected,பள்ளிக்கு தாமதமாக வந்த மாணவர்களின் எண்ணிக்கை நான் எதிர்பார்த்ததை விட மிகக் குறைவு
We disputed for hours about what to write,என்ன எழுதுவது என்று மணிக்கணக்கில் தகராறு செய்தோம்
You should apologize to Dad for not coming home in time for supper,இரவு உணவுக்கு நேரமாக வீட்டிற்கு வராததற்கு அப்பாவிடம் மன்னிப்பு கேட்க வேண்டும்
The news article painted the defendant as a guilty man even though he had been proven innocent,குற்றம் சாட்டப்பட்டவர் நிரபராதி என நிரூபிக்கப்பட்டாலும் அந்தச் செய்திக் கட்டுரை அவரை குற்றவாளியாக சித்தரித்தது
Are you meeting someone here,நீங்கள் யாரையாவது இங்கே சந்திக்கிறீர்களா
A sudden illness prevented him from going there,திடீரென ஏற்பட்ட நோய் அவரை அங்கு செல்ல விடாமல் தடுத்தது
I dont know what you mean,நீங்கள் என்ன சொல்கிறீர்கள் என்று எனக்குத் தெரியவில்லை
Falling interest rates have stimulated the automobile market,குறைந்த வட்டி விகிதங்கள் ஆட்டோமொபைல் சந்தையை ஊக்கப்படுத்தியுள்ளன
Some people find it easier to grasp the shortterm effects of smoking,புகைபிடிப்பதால் ஏற்படும் குறுகிய கால விளைவுகளைப் புரிந்துகொள்வது சிலருக்கு எளிதாக இருக்கும்
People want more money to expand educational institutions,கல்வி நிறுவனங்களை விரிவுபடுத்த மக்கள் அதிக பணம் வேண்டும்
English abounds in idioms,மொழிச்சொற்களில் ஆங்கிலம் நிறைந்துள்ளது
I think your English has improved a lot,உங்கள் ஆங்கிலம் மிகவும் மேம்பட்டிருப்பதாக நினைக்கிறேன்
The students chose her chairman,மாணவர்கள் அவரது தலைவரைத் தேர்ந்தெடுத்தனர்
Our family budget is in the red,எங்கள் குடும்ப பட்ஜெட் சிவப்பு நிறத்தில் உள்ளது
I hope you will join us in the parade and march along the street,அணிவகுப்பில் எங்களுடன் கலந்துகொண்டு தெருவில் அணிவகுப்பீர்கள் என்று நம்புகிறேன்
You need not take the trouble to go there,நீங்கள் அங்கு செல்ல சிரமப்பட வேண்டியதில்லை
Ive been invited on a trip abroad but I dont want to go,நான் வெளிநாட்டு பயணத்திற்கு அழைக்கப்பட்டேன் ஆனால் நான் செல்ல விரும்பவில்லை
Discussion is based upon mutual respect,பரஸ்பர மரியாதையை அடிப்படையாகக் கொண்டது விவாதம்
Its much too cold to swim,நீந்துவதற்கு மிகவும் குளிராக இருக்கிறது
You must not tell a lie,பொய் சொல்லக்கூடாது
Our representative argued against the new tax plan,எங்கள் பிரதிநிதி புதிய வரித் திட்டத்திற்கு எதிராக வாதிட்டார்
You can see the sun peeking through the clouds,மேகங்கள் வழியாக சூரியன் எட்டிப்பார்ப்பதைக் காணலாம்
It is said that there will be an election soon,விரைவில் தேர்தல் வரும் என்று கூறப்படுகிறது
You neednt have taken a taxi,நீங்கள் ஒரு டாக்ஸி எடுத்திருக்க வேண்டியதில்லை
The athletic meeting was put off,தடகள கூட்டம் ஒத்திவைக்கப்பட்டது
What is the name of the building whose roof you can see,நீங்கள் பார்க்கும் கூரையின் கட்டிடத்தின் பெயர் என்ன
This is not my type,இது என்னுடைய வகை அல்ல
The journalist was too upset to distinguish vice from virtue,நல்லொழுக்கத்திலிருந்து தீமையை வேறுபடுத்த முடியாத அளவுக்கு பத்திரிகையாளர் மிகவும் வருத்தப்பட்டார்
My brotherinlaw is ready to lose his temper at trifles,அற்ப விஷயங்களில் கோபத்தை இழக்க என் மைத்துனர் தயாராக இருக்கிறார்
Thanks to your stupidity we lost the game,உங்கள் முட்டாள்தனத்திற்கு நன்றி நாங்கள் விளையாட்டை இழந்தோம்
Better to be hated for who you are than loved for who youre not,நீங்கள் யாருக்காக வெறுக்கப்படுகிறீர்கள் என்பதை விட நீங்கள் யாருக்காக வெறுக்கப்படுகிறீர்கள்
Im so dumb Im trying to explain things to you that I dont understand myself,நான் மிகவும் முட்டாள் எனக்கே புரியாத விஷயங்களை உங்களுக்கு விளக்க முயற்சிக்கிறேன்
A canal flowed between two rows of houses,இரண்டு வரிசை வீடுகளுக்கு இடையே ஒரு கால்வாய் ஓடியது
A novel idea occurred to me,எனக்கு ஒரு புதுமையான யோசனை தோன்றியது
Muscle tissue consists of innumerable cells,தசை திசு எண்ணற்ற செல்களைக் கொண்டுள்ளது
The climate has much to do with our mind and body,தட்பவெப்ப நிலை நமது மனதிற்கும் உடலிற்கும் மிகவும் தொடர்புள்ளது
Everything went better than I had expected,நான் எதிர்பார்த்ததை விட எல்லாம் சிறப்பாக நடந்தது
The spectators were moved by her graceful performance,அவரது நேர்த்தியான நடிப்பால் பார்வையாளர்கள் நெகிழ்ந்தனர்
You shouldnt have done such a thing,அப்படி ஒரு செயலைச் செய்திருக்கக் கூடாது
Years of farm work have hardened his body,பல வருட விவசாய வேலைகள் அவரது உடலை கடினமாக்கியது
Classes are starting again soon,விரைவில் வகுப்புகள் மீண்டும் தொடங்க உள்ளன
We took cover from the thunder shower,இடியுடன் கூடிய மழையிலிருந்து நாங்கள் மறைந்தோம்
What you still dont know how to drive,என்ன உனக்கு இன்னும் ஓட்டத் தெரியாதா
We were nearly frozen to death,நாங்கள் ஏறக்குறைய உறைந்து இறந்து போனோம்
I dont mind the cold but I cant stand the heat,நான் குளிரைப் பொருட்படுத்தவில்லை ஆனால் என்னால் வெப்பத்தைத் தாங்க முடியாது
I hope that you will get well soon,நீங்கள் விரைவில் குணமடைவீர்கள் என்று நம்புகிறேன்
Please write with a pencil,தயவுசெய்து பென்சிலால் எழுதுங்கள்
We heard shots in the distance,தூரத்தில் துப்பாக்கிச் சத்தம் கேட்டது
He who wears armor falls with a big crash,கவசம் அணிந்தவர் பெரிய விபத்தில் விழுகிறார்
We delegated him to negotiate with them,அவர்களுடன் பேச்சுவார்த்தை நடத்த அவரை நாங்கள் பணியமர்த்தினோம்
I enjoyed the holiday all the better for being with you,உங்களுடன் இருந்ததற்காக நான் விடுமுறையை சிறப்பாக அனுபவித்தேன்
Will you give us a statement,எங்களுக்கு அறிக்கை தருவீர்களா
Looks aside she is very goodnatured,ஒருபுறம் பார்த்தால் அவள் மிகவும் நல்ல குணம் கொண்டவள்
I cant see you today because I feel ill,எனக்கு உடல்நிலை சரியில்லாமல் இருப்பதால் இன்று உன்னைப் பார்க்க முடியவில்லை
Were it not for music the world would be a dull place,இசை இல்லாவிட்டால் உலகம் மந்தமான இடமாக இருக்கும்
We ran all the way to the station,ஸ்டேஷன் வரை ஓடினோம்
The vacation came to an end all too soon,விடுமுறை மிக விரைவில் முடிவுக்கு வந்தது
Some are good at English and others are good at mathematics,சிலர் ஆங்கிலத்தில் சிறந்தவர்கள் மற்றவர்கள் கணிதத்தில் சிறந்தவர்கள்
The fire went out,தீ அணைந்தது
We have much rain in summer but on the other hand we have little rain in winter,கோடையில் அதிக மழை பெய்யும் ஆனால் மறுபுறம் குளிர்காலத்தில் மழை குறைவாக இருக்கும்
The meeting is held twice a month,மாதம் இருமுறை கூட்டம் நடைபெறும்
I have seen little of him of late,நான் அவரை தாமதமாக பார்த்தது குறைவு
What has brought you here,உங்களை இங்கு அழைத்து வந்தது எது
Excessive indulgence spoiled the child,அதீத ஈடுபாடு குழந்தையைக் கெடுத்தது
I feel terrible about my mistake,என் தவறை நினைத்து நான் பயப்படுகிறேன்
It is good for us to understand other cultures,மற்ற கலாச்சாரங்களை நாம் புரிந்து கொள்வது நல்லது
Getting excited is not at all the same as getting angry,உற்சாகமடைவது கோபப்படுவதைப் போன்றது அல்ல
The whole family got out of the car,மொத்த குடும்பமும் காரை விட்டு இறங்கியது
It is foolish of you to build a castle in the air while forgetting to drive in pilings for its foundation,அதன் அஸ்திவாரத்திற்காக பைலிங் ஓட்ட மறந்துவிட்டு காற்றில் கோட்டை கட்டுவது முட்டாள்தனம்
For somebody who feels rushed all the time I sure make slow progress,எப்போதும் அவசரமாக உணரும் ஒருவருக்கு நான் மெதுவாக முன்னேறுவேன்
I cast my net into the sea,என் வலையை கடலில் வீசினேன்
He will be studying when you get up,நீங்கள் எழுந்தவுடன் அவர் படித்துக் கொண்டிருப்பார்
Are you concerned with politics,நீங்கள் அரசியலில் அக்கறை கொண்டவரா
I cant wait for spring to come so we can sit under the cherry trees,வசந்த காலம் வரும் வரை என்னால் காத்திருக்க முடியாது அதனால் நாம் செர்ரி மரங்களின் கீழ் உட்காரலாம்
In Britain the banks open at 900 in the morning,பிரிட்டனில் வங்கிகள் காலை 900 மணிக்கு திறக்கப்படும்
You are hearing things,நீங்கள் விஷயங்களைக் கேட்கிறீர்கள்
May I take a few days off to visit my family,எனது குடும்பத்தைப் பார்க்க சில நாட்கள் விடுமுறை எடுக்கலாமா
Without your advice I would have been robbed of my bag,உங்கள் அறிவுரை இல்லாமல் என் பையை நான் கொள்ளையடித்திருப்பேன்
The milk turned sour,பால் புளிப்பாக மாறியது
Did you notice any change,எந்த மாற்றத்தையும் கவனித்தீர்களா
I wore out two pairs of jogging shoes last year,கடந்த ஆண்டு இரண்டு ஜோடி ஜாகிங் ஷூக்களை அணிந்திருந்தேன்
I want you to go to the post office,நீங்கள் தபால் நிலையத்திற்கு செல்ல விரும்புகிறேன்
Your son has come of age,உங்கள் மகனுக்கு வயது வந்துவிட்டது
Which one do you take,நீங்கள் எதை எடுத்துக்கொள்கிறீர்கள்
The audience was carried away by his touching performance,அவரது அட்டகாசமான நடிப்பால் பார்வையாளர்கள் ஈர்க்கப்பட்டனர்
We depended on the newspapers for information about it,அதைப் பற்றிய தகவல்களுக்கு நாங்கள் செய்தித்தாள்களை நம்பியிருந்தோம்
The South East region of England is densely populated,இங்கிலாந்தின் தென்கிழக்கு பகுதி மக்கள் தொகை அடர்த்தியாக உள்ளது
The roses in the garden smell sweet,தோட்டத்தில் ரோஜாக்கள் இனிமையான வாசனை
Your loving friend,உங்கள் அன்பு நண்பர்
My mother happened to be there when the fire broke out,தீ விபத்து ஏற்பட்ட போது என் அம்மா அங்கே இருந்தார்
The vase was broken to pieces,குவளை துண்டு துண்டாக உடைந்தது
Who are you to tell me to get out,என்னை வெளியே போகச் சொல்ல நீ யார்
The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church,பலிபீட சிறுவர்கள் மற்றும் மதத் தலைவர்கள் சம்பந்தப்பட்ட சமீபத்திய ஊழல்கள் சர்ச் மீது மக்கள் கொண்டுள்ள நம்பிக்கையை குறைமதிப்பிற்கு உட்படுத்தியுள்ளன
I am looking forward to hearing from you soon,உங்களிடமிருந்து விரைவில் கேட்க ஆவலுடன் காத்திருக்கிறேன்
We set out on our journey full of hope,நம்பிக்கையுடன் எங்கள் பயணத்தை ஆரம்பித்தோம்
Take it easy,நிதானமாக எடுத்துக்கொள்ளுங்கள்
I would rather stay at home than go to the movies,நான் சினிமாவுக்குப் போவதை விட வீட்டிலேயே இருக்க விரும்புகிறேன்
The sound of shouting grew faint,கூச்சல் சத்தம் மங்கலாக அதிகரித்தது
It makes no difference whether you go or not,நீங்கள் சென்றாலும் செல்லாவிட்டாலும் எந்த வித்தியாசமும் இல்லை
Theres a problem there that you dont see,நீங்கள் பார்க்காத ஒரு சிக்கல் உள்ளது
Summer vacation begins next Monday,கோடை விடுமுறை வரும் திங்கட்கிழமை தொடங்குகிறது
Im out of breath after running up the stairs,படிக்கட்டுகளில் ஏறி ஓடிய பிறகு எனக்கு மூச்சுத் திணறுகிறது
I want a piece of candy,எனக்கு ஒரு மிட்டாய் வேண்டும்
You are a tennis player,நீங்கள் ஒரு டென்னிஸ் வீரர்
The royal palace was built on a hill,அரச அரண்மனை மலையில் கட்டப்பட்டது
The sea was as smooth as glass,கடல் கண்ணாடி போல் மென்மையாக இருந்தது
Oysters dont agree with me,சிப்பிகள் என்னுடன் உடன்படவில்லை
Ill be glad to,நான் மகிழ்ச்சி அடைவேன்
If you are going abroad its necessary to have a passport,வெளிநாடு செல்வதாக இருந்தால் பாஸ்போர்ட் அவசியம்
Our victory is secure,எங்கள் வெற்றி பாதுகாப்பானது
We have yet to discover an effective remedy for cancer,புற்றுநோய்க்கான சிறந்த தீர்வை நாம் இன்னும் கண்டுபிடிக்கவில்லை
Every man takes the limits of his own field of vision for the limits of the world,ஒவ்வொரு மனிதனும் தனது சொந்த பார்வையின் எல்லைகளை உலகின் எல்லைகளுக்கு எடுத்துக்கொள்கிறான்
What was it I left behind,நான் எதை விட்டுச் சென்றேன்
It is impossible to master English in a short time,குறுகிய காலத்தில் ஆங்கிலத்தில் தேர்ச்சி பெறுவது சாத்தியமில்லை
One question was what I was going to be,நான் என்னவாகப் போகிறேன் என்பது ஒரு கேள்வி
The summer goods are now on sale,கோடைகால பொருட்கள் இப்போது விற்பனைக்கு வந்துள்ளன
You go first,நீ முதலில் போ
When I go on vacation Ill rent a car,நான் விடுமுறையில் செல்லும்போது நான் ஒரு காரை வாடகைக்கு எடுப்பேன்
I admire your brave deed,உங்கள் துணிச்சலான செயலை நான் பாராட்டுகிறேன்
Mr Hashimoto is fair to us,திரு ஹாஷிமோட்டோ எங்களுக்கு நியாயமானவர்
I dont care as long as you are happy,நீ சந்தோஷமாக இருக்கும் வரை எனக்கு கவலையில்லை
Lets speak English,ஆங்கிலம் பேசுவோம்
I need to find out exactly what went wrong,என்ன தவறு நடந்தது என்பதை நான் கண்டுபிடிக்க வேண்டும்
English is spoken by more people than any other language,ஆங்கிலம் மற்ற மொழிகளை விட அதிகமான மக்களால் பேசப்படுகிறது
My tutor scolded me for my stupid behavior,எனது முட்டாள்தனமான நடத்தைக்காக எனது ஆசிரியர் என்னைத் திட்டினார்
Go straight ahead until you reach the church,நீங்கள் தேவாலயத்தை அடையும் வரை நேராக செல்லுங்கள்
Which party do you belong to,நீங்கள் எந்த கட்சியை சேர்ந்தவர்
Whoever goes to church believes in God,தேவாலயத்திற்குச் செல்பவர் கடவுளை நம்புகிறார்
Bite the bullet,புல்லட்டைக் கடி
The watch on the compact disc is mine,காம்பாக்ட் டிஸ்க்கில் இருக்கும் வாட்ச் என்னுடையது
The noise grew fainter until it wasnt heard anymore,சத்தம் இன்னும் கேட்காத வரை மங்கலானது
Being free she went out for a walk,சுதந்திரமாக இருந்ததால் ஒரு நடைக்கு வெளியே சென்றாள்
Thank goodness youve come to,நன்றி நீங்கள் வந்துவிட்டீர்கள்
We enjoyed playing tennis,டென்னிஸ் விளையாடி மகிழ்ந்தோம்
Im going to go,நான் போகப் போகிறேன்
How much money do you have in the bank,வங்கியில் எவ்வளவு பணம் வைத்திருக்கிறீர்கள்
They hate him because he gives them a mountain of homework,மலையளவு வீட்டுப்பாடம் கொடுப்பதால் அவர்கள் அவரை வெறுக்கிறார்கள்
How is everyone,எல்லாரும் எப்படி இருக்காங்க
Unsure of which suitor she wanted to marry the princess vacillated saying now one now the other,அவள் எந்தப் பெண்ணை மணக்க விரும்புகிறாள் என்று தெரியாமல் இளவரசி இப்போது ஒன்று இப்போது மற்றொன்று என்று சொல்லி அலைந்தாள்
